model,input_dim,win,batch,samples_per_sec,wall_time_s,energy_kwh,cost_usd,carbon_kg
LSTM,1,32,64,2606.6408966520653,1.9642137920018286,1.63684482666819e-05,3.2736896533363807e-06,6.547379306672761e-06
LSTM,1,32,128,7812.077586853403,1.3107908729980409,1.0923257274983673e-05,2.1846514549967345e-06,4.369302909993469e-06
LSTM,1,32,256,8844.637268428667,2.3155274069977168,1.9296061724980975e-05,3.859212344996195e-06,7.71842468999239e-06
LSTM,1,32,512,8933.066656635145,4.585211503999744,3.821009586666453e-05,7.642019173332907e-06,1.5284038346665813e-05
LSTM,1,64,64,3826.9876869463797,1.337866860001668,1.1148890500013901e-05,2.2297781000027804e-06,4.459556200005561e-06
LSTM,1,64,128,2735.779529281259,3.7429916740002227,3.119159728333519e-05,6.238319456667039e-06,1.2476638913334078e-05
LSTM,1,64,256,4558.232426490784,4.492969660997915,3.744141384164929e-05,7.488282768329859e-06,1.4976565536659719e-05
LSTM,1,64,512,3777.4033403764674,10.843427695999708,9.036189746666423e-05,1.8072379493332845e-05,3.614475898666569e-05
LSTM,1,128,64,2704.5509571944363,1.893105391998688,1.5775878266655732e-05,3.1551756533311467e-06,6.310351306662293e-06
LSTM,1,128,128,3316.210239366863,3.08786212600171,2.573218438334758e-05,5.146436876669516e-06,1.0292873753339032e-05
LSTM,1,128,256,2893.7460311466602,7.077331520998996,5.897776267499164e-05,1.1795552534998328e-05,2.3591105069996657e-05
LSTM,1,128,512,3102.778438281041,13.201071496001532,0.0001100089291333461,2.200178582666922e-05,4.400357165333844e-05
LSTM,6,32,64,11982.438126828663,0.4272920039984456,3.5607666999870465e-06,7.121533399974093e-07,1.4243066799948186e-06
LSTM,6,32,128,12824.183187395702,0.798491401001229,6.654095008343574e-06,1.330819001668715e-06,2.66163800333743e-06
LSTM,6,32,256,13430.288113368482,1.5249114409998583,1.2707595341665486e-05,2.5415190683330973e-06,5.0830381366661945e-06
LSTM,6,32,512,12740.2497812559,3.2150076099969738,2.6791730083308115e-05,5.3583460166616234e-06,1.0716692033323247e-05
LSTM,6,64,64,6465.296349396141,0.7919203889978235,6.5993365749818615e-06,1.3198673149963723e-06,2.6397346299927447e-06
LSTM,6,64,128,6708.778951890761,1.5263582349980425,1.2719651958317019e-05,2.543930391663404e-06,5.087860783326808e-06
LSTM,6,64,256,5119.536829100644,4.000361885002349,3.333634904168624e-05,6.667269808337248e-06,1.3334539616674496e-05
LSTM,6,64,512,6379.2788821550685,6.4207884239986015,5.350657019998834e-05,1.0701314039997669e-05,2.1402628079995337e-05
LSTM,6,128,64,3390.474431494793,1.510113142998307,1.2584276191652558e-05,2.516855238330512e-06,5.033710476661024e-06
LSTM,6,128,128,2829.4417383256637,3.6190884799980267,3.0159070666650222e-05,6.031814133330045e-06,1.206362826666009e-05
LSTM,6,128,256,3038.0424150350427,6.741183039001044,5.61765253250087e-05,1.123530506500174e-05,2.247061013000348e-05
LSTM,6,128,512,3007.2803458408166,13.620279883998592,0.00011350233236665492,2.2700466473330987e-05,4.5400932946661974e-05
KANish,1,32,64,477716.70828509063,0.010717648998252116,8.931374165210097e-08,1.7862748330420196e-08,3.572549666084039e-08
KANish,1,32,128,947918.1024644946,0.010802621000038926,9.002184166699105e-08,1.800436833339821e-08,3.600873666679642e-08
KANish,1,32,256,1483346.3949237575,0.013806619997922098,1.1505516664935082e-07,2.3011033329870166e-08,4.602206665974033e-08
KANish,1,32,512,2053253.0426356292,0.019948831999499816,1.6624026666249848e-07,3.3248053332499694e-08,6.649610666499939e-08
KANish,1,64,64,438277.96474192897,0.011682084001222393,9.735070001018661e-08,1.9470140002037323e-08,3.8940280004074645e-08
KANish,1,64,128,705651.2326396247,0.01451141800134792,1.20928483344566e-07,2.4185696668913203e-08,4.8371393337826405e-08
KANish,1,64,256,1107522.1793046654,0.018491728998924373,1.5409774165770313e-07,3.081954833154063e-08,6.163909666308126e-08
KANish,1,64,512,1110076.4971392618,0.036898358001053566,3.074863166754464e-07,6.149726333508928e-08,1.2299452667017855e-07
KANish,1,128,64,222897.22155694477,0.0229702280012134,1.914185666767783e-07,3.828371333535566e-08,7.656742667071132e-08
KANish,1,128,128,573771.7180074581,0.017846819002443226,1.487234916870269e-07,2.974469833740538e-08,5.948939667481076e-08
KANish,1,128,256,755278.2907398854,0.027115832999697886,2.2596527499748237e-07,4.519305499949648e-08,9.038610999899296e-08
KANish,1,128,512,876939.4282738551,0.04670790100135491,3.8923250834462424e-07,7.784650166892485e-08,1.556930033378497e-07
KANish,6,32,64,297170.99020742415,0.0172291380004026,1.43576150003355e-07,2.8715230000671e-08,5.7430460001342e-08
KANish,6,32,128,417324.44174243644,0.02453726399835432,2.04477199986286e-07,4.0895439997257206e-08,8.179087999451441e-08
KANish,6,32,256,488338.8125497506,0.04193809599746601,3.4948413331221676e-07,6.989682666244336e-08,1.397936533248867e-07
KANish,6,32,512,543595.2653089223,0.07535017799818888,6.279181499849074e-07,1.255836299969815e-07,2.51167259993963e-07
KANish,6,64,64,218239.7540013416,0.023460437001631362,1.9550364168026134e-07,3.910072833605227e-08,7.820145667210454e-08
KANish,6,64,128,269428.57617189205,0.038006362003216054,3.167196833601338e-07,6.334393667202676e-08,1.2668787334405353e-07
KANish,6,64,256,306685.6911629618,0.06677846599995974,5.564872166663312e-07,1.1129744333326624e-07,2.2259488666653248e-07
KANish,6,64,512,291641.45479660516,0.1404464260012901,1.170386883344084e-06,2.3407737666881682e-07,4.6815475333763364e-07
KANish,6,128,64,144567.18631697146,0.035416058999544475,2.9513382499620394e-07,5.902676499924079e-08,1.1805352999848158e-07
KANish,6,128,128,165628.3033627637,0.06182518200148479,5.152098500123732e-07,1.0304197000247466e-07,2.0608394000494932e-07
KANish,6,128,256,160278.82504891642,0.1277773280016845,1.0648110666807043e-06,2.1296221333614087e-07,4.2592442667228174e-07
KANish,6,128,512,158244.70766829874,0.2588396200007992,2.156996833339993e-06,4.3139936666799865e-07,8.627987333359973e-07
